archived_dictator                      digits 0.387  resp10 p97.5 0.166  vocab10 p97.5 0.145  cos(big-'0') +0.253
cell_balanced_relaxed                  digits 0.442  resp10 p97.5 0.150  vocab10 p97.5 0.119  cos(big-'0') +0.142
cell_balanced_strict                   digits 0.419  resp10 p97.5 0.145  vocab10 p97.5 0.130  cos(big-'0') +0.275
family_balanced_raw_relaxed            digits 0.289  resp10 p97.5 0.201  vocab10 p97.5 0.129  cos(big-'0') +0.139
family_balanced_raw_strict             digits 0.293  resp10 p97.5 0.198  vocab10 p97.5 0.127  cos(big-'0') +0.215
family_balanced_unit_relaxed           digits 0.385  resp10 p97.5 0.149  vocab10 p97.5 0.109  cos(big-'0') +0.238
family_balanced_unit_strict            digits 0.368  resp10 p97.5 0.170  vocab10 p97.5 0.119  cos(big-'0') +0.313
game_apology_relaxed                   digits 0.435  resp10 p97.5 0.164  vocab10 p97.5 0.124  cos(big-'0') +0.116
game_apology_strict                    digits 0.422  resp10 p97.5 0.164  vocab10 p97.5 0.124  cos(big-'0') +0.130
game_dictator_relaxed                  digits 0.363  resp10 p97.5 0.154  vocab10 p97.5 0.144  cos(big-'0') +0.196
game_dictator_strict                   digits 0.342  resp10 p97.5 0.157  vocab10 p97.5 0.142  cos(big-'0') +0.208
game_equal_raw_relaxed                 digits 0.393  resp10 p97.5 0.157  vocab10 p97.5 0.125  cos(big-'0') +0.134
game_equal_raw_strict                  digits 0.380  resp10 p97.5 0.144  vocab10 p97.5 0.130  cos(big-'0') +0.278
game_equal_unit_relaxed                digits 0.432  resp10 p97.5 0.149  vocab10 p97.5 0.118  cos(big-'0') +0.195
game_equal_unit_strict                 digits 0.426  resp10 p97.5 0.140  vocab10 p97.5 0.130  cos(big-'0') +0.322
game_overfishing_relaxed               digits 0.413  resp10 p97.5 0.145  vocab10 p97.5 0.124  cos(big-'0') +0.262
game_overfishing_strict                digits 0.307  resp10 p97.5 0.185  vocab10 p97.5 0.127  cos(big-'0') +0.240
game_precision_raw_relaxed             digits 0.450  resp10 p97.5 0.153  vocab10 p97.5 0.117  cos(big-'0') +0.098
game_precision_raw_strict              digits 0.427  resp10 p97.5 0.152  vocab10 p97.5 0.129  cos(big-'0') +0.249
game_precision_unit_relaxed            digits 0.444  resp10 p97.5 0.144  vocab10 p97.5 0.114  cos(big-'0') +0.167
game_precision_unit_strict             digits 0.437  resp10 p97.5 0.148  vocab10 p97.5 0.130  cos(big-'0') +0.270
game_prisoners_dilemma_relaxed         digits 0.246  resp10 p97.5 0.223  vocab10 p97.5 0.136  cos(big-'0') +0.068
game_prisoners_dilemma_strict          digits 0.246  resp10 p97.5 0.223  vocab10 p97.5 0.136  cos(big-'0') +0.068
game_trust_relaxed                     digits 0.501  resp10 p97.5 0.170  vocab10 p97.5 0.122  cos(big-'0') +0.199
game_trust_strict                      digits 0.489  resp10 p97.5 0.172  vocab10 p97.5 0.125  cos(big-'0') +0.324
game_ultimatum_relaxed                 digits 0.485  resp10 p97.5 0.185  vocab10 p97.5 0.136  cos(big-'0') -0.111
game_ultimatum_strict                  digits 0.287  resp10 p97.5 0.163  vocab10 p97.5 0.120  cos(big-'0') +0.162
non_dollar_raw_relaxed                 digits 0.297  resp10 p97.5 0.214  vocab10 p97.5 0.125  cos(big-'0') +0.116
non_dollar_raw_strict                  digits 0.280  resp10 p97.5 0.213  vocab10 p97.5 0.120  cos(big-'0') +0.131
non_dollar_unit_relaxed                digits 0.406  resp10 p97.5 0.163  vocab10 p97.5 0.102  cos(big-'0') +0.219
non_dollar_unit_strict                 digits 0.334  resp10 p97.5 0.194  vocab10 p97.5 0.105  cos(big-'0') +0.227
their_altruism                         digits 0.106  resp10 p97.5 0.165  vocab10 p97.5 0.146  cos(big-'0') -0.071
