game,arm,k,unit_beta,raw_beta_equivalent,vector_layer_norm,n_rows,n_parsed,parse_coverage,measure_units,mean,sd,ci_low,ci_high,p_altruistic,p_altruistic_lo,p_altruistic_hi,p_self_interested,p_middle,mean_move_from_zero,mean_move_p,p_altruistic_move_from_zero,p_altruistic_move_excludes_zero,share_trigram_repeated_5x
apology,decision,-5,-52.541542053222656,-6.565320552993283,8.002890586853027,100,96,0.96,dollars transferred,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.038475587857675686,1.0,0.0,-25.23,1.2708837601354034e-13,-0.4,True,0.05
apology,decision,-4,-42.033233642578125,-5.252256442394627,8.002890586853027,100,92,0.92,dollars transferred,0.0,0.0,0.0,0.0,0.0,0.0,0.04008138928562172,1.0,0.0,-25.23,1.2708837601354034e-13,-0.4,True,0.09
apology,decision,-3,-31.524925231933594,-3.9391923317959696,8.002890586853027,100,95,0.95,dollars transferred,0.5263157894736842,5.129891760425769,-0.5186965483508456,1.571328127298214,0.010526315789473684,0.001860576262347903,0.05723870141313616,0.9894736842105263,0.0,-24.703684210526315,4.1363179964596867e-13,-0.38947368421052636,True,0.06
apology,decision,-2,-21.016616821289062,-2.6261282211973134,8.002890586853027,100,97,0.97,dollars transferred,2.577319587628866,15.088513188533522,-0.46368908222694927,5.618328257484682,0.030927835051546393,0.01057334494855243,0.08702003515310984,0.9690721649484536,0.0,-22.652680412371133,1.9200758870431298e-10,-0.36907216494845363,True,0.03
apology,decision,-1,-10.508308410644531,-1.3130641105986567,8.002890586853027,100,96,0.96,dollars transferred,4.177083333333333,18.72965270235613,0.38210297750489053,7.972063689161775,0.052083333333333336,0.02244960047424143,0.11618478031492638,0.9375,0.010416666666666666,-21.05291666666667,1.1161069296523805e-08,-0.3479166666666667,True,0.08
apology,decision,0,0.0,0.0,8.002890586853027,100,100,1.0,dollars transferred,25.23,29.36331284807865,19.403681689210682,31.05631831078932,0.4,0.3094012864324589,0.4979974132089382,0.43,0.17,0.0,1.0,0.0,False,0.04
apology,decision,1,10.508308410644531,1.3130641105986567,8.002890586853027,100,100,1.0,dollars transferred,46.1,18.63498393513194,42.40241489833705,49.79758510166295,0.85,0.7671644040916763,0.9069401471634337,0.09,0.06,20.87,1.1761146747073946e-08,0.44999999999999996,True,0.0
apology,decision,2,21.016616821289062,2.6261282211973134,8.002890586853027,100,99,0.99,dollars transferred,50.60606060606061,5.114641212341618,49.58596340192957,51.62615781019165,1.0,0.9626467879321726,1.0,0.0,0.0,25.37606060606061,1.292767798199642e-13,0.6,True,0.02
apology,decision,3,31.524925231933594,3.9391923317959696,8.002890586853027,100,100,1.0,dollars transferred,49.7,2.227015033536133,49.258111901901984,50.14188809809802,0.98,0.929988209271456,0.9944980324498376,0.0,0.02,24.470000000000002,4.840123680489455e-13,0.58,True,0.01
apology,decision,4,42.033233642578125,5.252256442394627,8.002890586853027,100,100,1.0,dollars transferred,49.45,3.3253692739424916,48.79017459163587,50.10982540836414,0.97,0.9154806357094724,0.9897454759759611,0.0,0.03,24.220000000000002,7.868288653608422e-13,0.57,True,0.01
apology,decision,5,52.541542053222656,6.565320552993283,8.002890586853027,100,99,0.99,dollars transferred,51.16161616161616,7.207857207564118,49.72403438804623,52.59919793518609,1.0,0.9626467879321726,1.0,0.0,0.0,25.93161616161616,6.649911770800104e-14,0.6,True,0.0
apology,shuffled-null,-5,-52.541542053222656,-39.546335971368386,1.3286070823669434,100,100,1.0,dollars transferred,57.0,49.7569851956243,47.12713465150074,66.87286534849926,0.57,0.47215389549212305,0.6626670147588988,0.43,0.0,31.77,1.4776499771165812e-07,0.16999999999999993,True,0.18
apology,shuffled-null,0,0.0,0.0,1.3286070823669434,100,100,1.0,dollars transferred,25.23,29.36331284807865,19.403681689210682,31.05631831078932,0.4,0.3094012864324589,0.4979974132089382,0.43,0.17,0.0,1.0,0.0,False,0.04
apology,shuffled-null,5,52.541542053222656,39.546335971368386,1.3286070823669434,100,92,0.92,dollars transferred,27.98913043478261,5.50023888635536,26.850063224582286,29.128197644982933,0.021739130434782608,0.0059820412288536864,0.07583493982695838,0.0,0.9782608695652174,2.759130434782609,0.35849235236009325,-0.37826086956521743,True,0.0
dictator,decision,-5,-52.541542053222656,-7.0011389250263285,7.504713535308838,100,99,0.99,dollars given,2.0202020202020203,14.140677897022574,-0.8001064605694514,4.840510500973492,0.020202020202020204,0.005557720110757801,0.07069031167150083,0.9797979797979798,0.0,-9.36979797979798,8.115245036474035e-05,-0.1197979797979798,True,0.45
dictator,decision,-4,-42.033233642578125,-5.600911140021063,7.504713535308838,100,100,1.0,dollars given,5.0,20.719385350268702,0.8888244361545352,9.111175563845464,0.06,0.027786123963188192,0.1247681544589592,0.94,0.0,-6.390000000000001,0.02215149254632258,-0.08000000000000002,False,0.3
dictator,decision,-3,-31.524925231933594,-4.200683355015797,7.504713535308838,100,100,1.0,dollars given,4.0,19.69463855669324,0.0921564320441628,7.907843567955837,0.04,0.01566330399154762,0.0983707143588792,0.96,0.0,-7.390000000000001,0.0066680308530665386,-0.1,True,0.22
dictator,decision,-2,-21.016616821289062,-2.8004555700105316,7.504713535308838,100,99,0.99,dollars given,2.0202020202020203,14.140677897022574,-0.8001064605694514,4.840510500973492,0.020202020202020204,0.005557720110757801,0.07069031167150083,0.9797979797979798,0.0,-9.36979797979798,8.115245036474035e-05,-0.1197979797979798,True,0.21
dictator,decision,-1,-10.508308410644531,-1.4002277850052658,7.504713535308838,100,100,1.0,dollars given,5.21,21.947271522281014,0.8551851804419952,9.564814819558006,0.05,0.02154367915436796,0.11175046923191913,0.93,0.02,-6.180000000000001,0.0321718771321362,-0.09000000000000001,True,0.33
dictator,decision,0,0.0,0.0,7.504713535308838,100,100,1.0,dollars given,11.39,18.397351039009,7.739566420411217,15.040433579588784,0.14,0.08526343659939134,0.22137188210963837,0.62,0.24,0.0,1.0,0.0,False,0.17
dictator,decision,1,10.508308410644531,1.4002277850052658,7.504713535308838,100,99,0.99,dollars given,38.0959595959596,13.857635625935904,35.3321029008363,40.8598162910829,0.46464646464646464,0.3695649572227244,0.562369108277021,0.050505050505050504,0.48484848484848486,26.705959595959598,1.2611030798736994e-23,0.3246464646464646,True,0.04
dictator,decision,2,21.016616821289062,2.8004555700105316,7.504713535308838,100,97,0.97,dollars given,43.20103092783505,10.109468487155173,41.163521934540995,45.2385399211291,0.5257731958762887,0.4273277034969924,0.6222550778161032,0.010309278350515464,0.4639175257731959,31.81103092783505,3.0568352593007606e-32,0.38577319587628867,True,0.02
dictator,decision,3,31.524925231933594,4.200683355015797,7.504713535308838,100,97,0.97,dollars given,41.47422680412371,8.59274498184509,39.74240527464996,43.20604833359746,0.41237113402061853,0.319573240177898,0.5118453033575773,0.0,0.5876288659793815,30.08422680412371,1.90520292771075e-30,0.2723711340206185,True,0.0
dictator,decision,4,42.033233642578125,5.600911140021063,7.504713535308838,100,94,0.94,dollars given,38.734042553191486,7.844147920604271,37.12740560202171,40.34067950436126,0.26595744680851063,0.18711610480785898,0.3631767819669066,0.0,0.7340425531914894,27.344042553191485,4.027764234675283e-27,0.12595744680851062,True,0.0
dictator,decision,5,52.541542053222656,7.0011389250263285,7.504713535308838,100,95,0.95,dollars given,35.45263157894737,7.690514219385247,33.88599379811327,37.01926935978147,0.11578947368421053,0.06589857581116428,0.19554494322443078,0.0,0.8842105263157894,24.062631578947368,4.9077216426827835e-23,-0.024210526315789488,False,0.0
dictator,shuffled-null,-5,-52.541542053222656,-40.46533021791123,1.298433542251587,100,97,0.97,dollars given,17.52577319587629,38.216241307281365,9.823495331078945,25.228051060673636,0.17525773195876287,0.1124005444575961,0.26285641099740076,0.8247422680412371,0.0,6.13577319587629,0.15532920649747872,0.03525773195876286,False,0.85
dictator,shuffled-null,0,0.0,0.0,1.298433542251587,100,100,1.0,dollars given,11.39,18.397351039009,7.739566420411217,15.040433579588784,0.14,0.08526343659939134,0.22137188210963837,0.62,0.24,0.0,1.0,0.0,False,0.17
dictator,shuffled-null,5,52.541542053222656,40.46533021791123,1.298433542251587,100,94,0.94,dollars given,21.143617021276597,7.301724034312412,19.64807923189398,22.639154810659214,0.0,-3.469446951953614e-18,0.03926207629154474,0.0,1.0,9.753617021276597,2.701938583362274e-06,-0.14,True,0.04
overfishing,decision,-5,-52.541542053222656,-23.107588519940244,2.2737786769866943,100,86,0.86,fish caught,97.67441860465117,15.159886590034533,94.42413221400437,100.92470499529796,0.023255813953488372,0.0064009262042708515,0.08088014562632057,0.9767441860465116,0.0,47.63870431893688,2.9452564387545595e-53,-0.9359278595158993,True,0.09
