game,arm,k,unit_beta,raw_beta_equivalent,vector_layer_norm,n_rows,n_parsed,parse_coverage,measure_units,mean,sd,ci_low,ci_high,p_altruistic,p_altruistic_lo,p_altruistic_hi,p_self_interested,p_middle,mean_move_from_zero,mean_move_p,p_altruistic_move_from_zero,p_altruistic_move_excludes_zero,share_trigram_repeated_5x
apology,decision,-5,-52.541542053222656,-6.736973036969356,7.798983573913574,100,94,0.94,dollars transferred,1.0638297872340425,10.314212462587928,-1.0487253344104515,3.1763849088785365,0.010638297872340425,0.0018803957480879353,0.05782291296278563,0.9893617021276596,0.0,-24.16617021276596,2.99612880868961e-12,-0.3893617021276596,True,0.07
apology,decision,-4,-42.033233642578125,-5.389578429575485,7.798983573913574,100,90,0.9,dollars transferred,1.1111111111111112,10.540925533894596,-1.0966429994514213,3.3188652216736436,0.011111111111111112,0.0019640841009183445,0.06028408311753451,0.9888888888888889,0.0,-24.11888888888889,3.746129840933396e-12,-0.3888888888888889,True,0.05
apology,decision,-3,-31.524925231933594,-4.042183822181614,7.798983573913574,100,95,0.95,dollars transferred,1.5789473684210527,11.421870535939114,-0.7478065259145636,3.905701262756669,0.021052631578947368,0.005792506864405536,0.07354119494708962,0.9789473684210527,0.0,-23.65105263157895,9.918036678323652e-12,-0.37894736842105264,True,0.01
apology,decision,-2,-21.016616821289062,-2.6947892147877424,7.798983573913574,100,96,0.96,dollars transferred,1.0416666666666667,10.206207261596582,-1.0263031286515465,3.1096364619848798,0.010416666666666666,0.0018411702168162486,0.056666176227157854,0.9895833333333334,0.0,-24.188333333333333,2.7061136057125248e-12,-0.38958333333333334,True,0.06
apology,decision,-1,-10.508308410644531,-1.3473946073938712,7.798983573913574,100,98,0.98,dollars transferred,7.040816326530612,24.587700540787512,2.1112941977206647,11.97033845534056,0.07142857142857142,0.03502845359806087,0.14016010936337964,0.9081632653061225,0.02040816326530612,-18.189183673469387,4.359603859966696e-06,-0.3285714285714286,True,0.05
apology,decision,0,0.0,0.0,7.798983573913574,100,100,1.0,dollars transferred,25.23,29.36331284807865,19.403681689210682,31.05631831078932,0.4,0.3094012864324589,0.4979974132089382,0.47,0.13,0.0,1.0,0.0,False,0.04
apology,decision,1,10.508308410644531,1.3473946073938712,7.798983573913574,100,100,1.0,dollars transferred,49.25,16.3666172930194,46.00250805270633,52.49749194729367,0.91,0.837737871472837,0.9519274599974348,0.05,0.04,24.02,3.2896787025348495e-11,0.51,True,0.04
apology,decision,2,21.016616821289062,2.6947892147877424,7.798983573913574,100,99,0.99,dollars transferred,50.13131313131313,5.702928829792897,48.99388403059882,51.268742232027435,0.9797979797979798,0.9293096883284993,0.9944422798892423,0.0,0.020202020202020204,24.901313131313128,3.124237955748025e-13,0.5797979797979798,True,0.0
apology,decision,3,31.524925231933594,4.042183822181614,7.798983573913574,100,100,1.0,dollars transferred,49.83,1.7000000000000042,49.4926831182303,50.16731688176969,0.99,0.9455138038212946,0.9982325679358593,0.0,0.01,24.599999999999998,3.804208382943627e-13,0.59,True,0.01
apology,decision,4,42.033233642578125,5.389578429575485,7.798983573913574,100,100,1.0,dollars transferred,50.0,0.0,50.0,50.0,1.0,0.9630065017930143,1.0,0.0,0.0,24.77,2.772779457483481e-13,0.6,True,0.0
