family,game_id,arm,k,unit_beta,raw_beta_equivalent,vector,vector_sha256_16,vector_layer_norm,rows_csv,n_rows
dictator,altruism_v3/dictator,decision,0,0.0,0.0,results/crossgame-decision-vectors/vectors/decision_dictator_response_avg_diff_cellbalanced_strict.pt,4f9038dd1ff94d3c,7.504713535308838,dictator/decision/altruism_v3-dictator_free_layer20_all_unit_coef0.csv,100
dictator,altruism_v3/dictator,decision,1,10.508308410644531,1.4002277850052658,results/crossgame-decision-vectors/vectors/decision_dictator_response_avg_diff_cellbalanced_strict.pt,4f9038dd1ff94d3c,7.504713535308838,dictator/decision/altruism_v3-dictator_free_layer20_all_unit_coef10.5083.csv,100
dictator,altruism_v3/dictator,decision,-1,-10.508308410644531,-1.4002277850052658,results/crossgame-decision-vectors/vectors/decision_dictator_response_avg_diff_cellbalanced_strict.pt,4f9038dd1ff94d3c,7.504713535308838,dictator/decision/altruism_v3-dictator_free_layer20_all_unit_coef-10.5083.csv,100
dictator,altruism_v3/dictator,decision,2,21.016616821289062,2.8004555700105316,results/crossgame-decision-vectors/vectors/decision_dictator_response_avg_diff_cellbalanced_strict.pt,4f9038dd1ff94d3c,7.504713535308838,dictator/decision/altruism_v3-dictator_free_layer20_all_unit_coef21.0166.csv,100
dictator,altruism_v3/dictator,decision,-2,-21.016616821289062,-2.8004555700105316,results/crossgame-decision-vectors/vectors/decision_dictator_response_avg_diff_cellbalanced_strict.pt,4f9038dd1ff94d3c,7.504713535308838,dictator/decision/altruism_v3-dictator_free_layer20_all_unit_coef-21.0166.csv,100
dictator,altruism_v3/dictator,decision,3,31.524925231933594,4.200683355015797,results/crossgame-decision-vectors/vectors/decision_dictator_response_avg_diff_cellbalanced_strict.pt,4f9038dd1ff94d3c,7.504713535308838,dictator/decision/altruism_v3-dictator_free_layer20_all_unit_coef31.5249.csv,100
dictator,altruism_v3/dictator,decision,-3,-31.524925231933594,-4.200683355015797,results/crossgame-decision-vectors/vectors/decision_dictator_response_avg_diff_cellbalanced_strict.pt,4f9038dd1ff94d3c,7.504713535308838,dictator/decision/altruism_v3-dictator_free_layer20_all_unit_coef-31.5249.csv,100
dictator,altruism_v3/dictator,decision,4,42.033233642578125,5.600911140021063,results/crossgame-decision-vectors/vectors/decision_dictator_response_avg_diff_cellbalanced_strict.pt,4f9038dd1ff94d3c,7.504713535308838,dictator/decision/altruism_v3-dictator_free_layer20_all_unit_coef42.0332.csv,100
dictator,altruism_v3/dictator,decision,-4,-42.033233642578125,-5.600911140021063,results/crossgame-decision-vectors/vectors/decision_dictator_response_avg_diff_cellbalanced_strict.pt,4f9038dd1ff94d3c,7.504713535308838,dictator/decision/altruism_v3-dictator_free_layer20_all_unit_coef-42.0332.csv,100
dictator,altruism_v3/dictator,decision,5,52.541542053222656,7.0011389250263285,results/crossgame-decision-vectors/vectors/decision_dictator_response_avg_diff_cellbalanced_strict.pt,4f9038dd1ff94d3c,7.504713535308838,dictator/decision/altruism_v3-dictator_free_layer20_all_unit_coef52.5415.csv,100
dictator,altruism_v3/dictator,decision,-5,-52.541542053222656,-7.0011389250263285,results/crossgame-decision-vectors/vectors/decision_dictator_response_avg_diff_cellbalanced_strict.pt,4f9038dd1ff94d3c,7.504713535308838,dictator/decision/altruism_v3-dictator_free_layer20_all_unit_coef-52.5415.csv,100
dictator,altruism_v3/dictator,shuffled-null,0,0.0,0.0,results/crossgame-per-game-steering/vectors/null_dictator_response_avg_diff_cellbalanced_strict_seed20260821.pt,a92a362929f1c629,1.298433542251587,dictator/shuffled-null/altruism_v3-dictator_free_layer20_all_unit_coef0.csv,100
dictator,altruism_v3/dictator,shuffled-null,5,52.541542053222656,40.46533021791123,results/crossgame-per-game-steering/vectors/null_dictator_response_avg_diff_cellbalanced_strict_seed20260821.pt,a92a362929f1c629,1.298433542251587,dictator/shuffled-null/altruism_v3-dictator_free_layer20_all_unit_coef52.5415.csv,100
dictator,altruism_v3/dictator,shuffled-null,-5,-52.541542053222656,-40.46533021791123,results/crossgame-per-game-steering/vectors/null_dictator_response_avg_diff_cellbalanced_strict_seed20260821.pt,a92a362929f1c629,1.298433542251587,dictator/shuffled-null/altruism_v3-dictator_free_layer20_all_unit_coef-52.5415.csv,100
trust,altruism_v3/trust,decision,0,0.0,0.0,results/crossgame-decision-vectors/vectors/decision_trust_response_avg_diff_cellbalanced_strict.pt,69501e25e573e028,5.373255252838135,trust/decision/altruism_v3-trust_free_layer20_all_unit_coef0.csv,100
trust,altruism_v3/trust,decision,1,10.508308410644531,1.955668941112388,results/crossgame-decision-vectors/vectors/decision_trust_response_avg_diff_cellbalanced_strict.pt,69501e25e573e028,5.373255252838135,trust/decision/altruism_v3-trust_free_layer20_all_unit_coef10.5083.csv,100
trust,altruism_v3/trust,decision,-1,-10.508308410644531,-1.955668941112388,results/crossgame-decision-vectors/vectors/decision_trust_response_avg_diff_cellbalanced_strict.pt,69501e25e573e028,5.373255252838135,trust/decision/altruism_v3-trust_free_layer20_all_unit_coef-10.5083.csv,100
trust,altruism_v3/trust,decision,2,21.016616821289062,3.911337882224776,results/crossgame-decision-vectors/vectors/decision_trust_response_avg_diff_cellbalanced_strict.pt,69501e25e573e028,5.373255252838135,trust/decision/altruism_v3-trust_free_layer20_all_unit_coef21.0166.csv,100
trust,altruism_v3/trust,decision,-2,-21.016616821289062,-3.911337882224776,results/crossgame-decision-vectors/vectors/decision_trust_response_avg_diff_cellbalanced_strict.pt,69501e25e573e028,5.373255252838135,trust/decision/altruism_v3-trust_free_layer20_all_unit_coef-21.0166.csv,100
trust,altruism_v3/trust,decision,3,31.524925231933594,5.867006823337164,results/crossgame-decision-vectors/vectors/decision_trust_response_avg_diff_cellbalanced_strict.pt,69501e25e573e028,5.373255252838135,trust/decision/altruism_v3-trust_free_layer20_all_unit_coef31.5249.csv,100
trust,altruism_v3/trust,decision,-3,-31.524925231933594,-5.867006823337164,results/crossgame-decision-vectors/vectors/decision_trust_response_avg_diff_cellbalanced_strict.pt,69501e25e573e028,5.373255252838135,trust/decision/altruism_v3-trust_free_layer20_all_unit_coef-31.5249.csv,100
trust,altruism_v3/trust,decision,4,42.033233642578125,7.822675764449552,results/crossgame-decision-vectors/vectors/decision_trust_response_avg_diff_cellbalanced_strict.pt,69501e25e573e028,5.373255252838135,trust/decision/altruism_v3-trust_free_layer20_all_unit_coef42.0332.csv,100
trust,altruism_v3/trust,decision,-4,-42.033233642578125,-7.822675764449552,results/crossgame-decision-vectors/vectors/decision_trust_response_avg_diff_cellbalanced_strict.pt,69501e25e573e028,5.373255252838135,trust/decision/altruism_v3-trust_free_layer20_all_unit_coef-42.0332.csv,100
trust,altruism_v3/trust,decision,5,52.541542053222656,9.77834470556194,results/crossgame-decision-vectors/vectors/decision_trust_response_avg_diff_cellbalanced_strict.pt,69501e25e573e028,5.373255252838135,trust/decision/altruism_v3-trust_free_layer20_all_unit_coef52.5415.csv,100
