arm,their_raw_beta,unit_beta,own_raw_beta,n,parsed,parse_coverage,mean,sd,se,ci_low,ci_high,median,share_zero,share_half,share_full,move_from_zero,move_ci_low,move_ci_high
decision,-5,-52.541542053222656,-7.645621771408207,200,196,0.98,1.031,10.076,0.72,-0.389,2.45,0.0,0.9847,0.0,0.0102,-11.934,-15.131,-8.738
decision,-4,-42.033233642578125,-6.116497417126566,200,199,0.995,3.518,18.469,1.309,0.936,6.099,0.0,0.9648,0.0,0.0352,-9.447,-13.297,-5.598
decision,-3,-31.524925231933594,-4.587373062844924,200,199,0.995,2.513,15.69,1.112,0.319,4.706,0.0,0.9749,0.0,0.0251,-10.452,-14.055,-6.85
decision,-2,-21.016616821289062,-3.058248708563283,200,198,0.99,3.03,17.185,1.221,0.622,5.439,0.0,0.9697,0.0,0.0303,-9.935,-13.671,-6.198
decision,-1,-10.508308410644531,-1.5291243542816415,200,198,0.99,1.369,10.694,0.76,-0.13,2.867,0.0,0.9747,0.0051,0.0101,-11.596,-14.828,-8.364
decision,0,0.0,0.0,200,200,1.0,12.965,20.59,1.456,10.094,15.836,0.0,0.61,0.175,0.005,0.0,0.0,0.0
decision,1,10.508308410644531,1.5291243542816415,200,197,0.985,38.749,16.47,1.173,36.435,41.063,50.0,0.0761,0.5228,0.0,25.784,22.107,29.46
decision,2,21.016616821289062,3.058248708563283,200,197,0.985,44.142,8.724,0.622,42.916,45.368,50.0,0.0,0.5787,0.0,31.177,28.06,34.294
decision,3,31.524925231933594,4.587373062844924,200,196,0.98,42.224,8.75,0.625,40.992,43.457,40.0,0.0,0.4694,0.0,29.259,26.14,32.379
decision,4,42.033233642578125,6.116497417126566,200,193,0.965,41.707,9.267,0.667,40.392,43.023,40.0,0.0,0.3731,0.0,28.742,25.59,31.895
decision,5,52.541542053222656,7.645621771408207,200,186,0.93,38.699,8.646,0.634,37.448,39.95,40.0,0.0,0.3011,0.0,25.734,22.608,28.86
theirs,-5,-52.541542053222656,-5,200,196,0.98,30.107,26.202,1.872,26.416,33.798,32.5,0.3112,0.3469,0.0255,17.142,12.479,21.805
theirs,-4,-42.033233642578125,-4,200,198,0.99,26.061,25.824,1.835,22.441,29.68,22.5,0.4242,0.3283,0.0152,13.096,8.489,17.702
theirs,-3,-31.524925231933594,-3,200,197,0.985,23.871,26.194,1.866,20.19,27.551,20.0,0.4264,0.2741,0.0305,10.906,6.251,15.56
theirs,-2,-21.016616821289062,-2,200,199,0.995,13.52,21.737,1.541,10.481,16.559,0.0,0.6382,0.1709,0.0101,0.555,-3.613,4.723
theirs,-1,-10.508308410644531,-1,200,196,0.98,11.365,19.362,1.383,8.637,14.092,0.0,0.648,0.1582,0.0,-1.6,-5.548,2.348
theirs,0,0.0,0,200,200,1.0,12.965,20.59,1.456,10.094,15.836,0.0,0.61,0.175,0.005,0.0,0.0,0.0
theirs,1,10.508308410644531,1,200,196,0.98,26.62,24.625,1.759,23.151,30.089,22.5,0.3367,0.4031,0.0153,13.655,9.165,18.144
theirs,2,21.016616821289062,2,200,198,0.99,38.136,25.927,1.843,34.503,41.77,50.0,0.1263,0.5606,0.0606,25.171,20.554,29.789
theirs,3,31.524925231933594,3,200,194,0.97,53.887,25.467,1.828,50.28,57.493,50.0,0.0206,0.701,0.1753,40.922,36.326,45.518
theirs,4,42.033233642578125,4,200,194,0.97,65.711,31.682,2.275,61.225,70.198,50.0,0.0,0.4742,0.4124,52.746,47.434,58.059
theirs,5,52.541542053222656,5,200,190,0.95,76.679,33.052,2.398,71.949,81.409,100.0,0.0053,0.2579,0.6316,63.714,58.194,69.233
shuffled-null,-5,-52.541542053222656,-90.60126766469293,200,194,0.97,24.103,41.863,3.006,18.175,30.031,0.0,0.6598,0.0206,0.2268,11.138,4.564,17.712
shuffled-null,-3,-31.524925231933594,-54.36076059881576,200,198,0.99,10.902,29.283,2.081,6.797,15.006,0.0,0.8232,0.0404,0.0859,-2.063,-7.059,2.932
shuffled-null,-1,-10.508308410644531,-18.120253532938584,200,198,0.99,9.379,21.124,1.501,6.418,12.339,0.0,0.7172,0.1212,0.0202,-3.586,-7.698,0.525
shuffled-null,0,0.0,0.0,200,200,1.0,12.965,20.59,1.456,10.094,15.836,0.0,0.61,0.175,0.005,0.0,0.0,0.0
shuffled-null,1,10.508308410644531,18.120253532938584,200,198,0.99,26.321,22.567,1.604,23.158,29.483,26.25,0.3485,0.3889,0.0,13.356,9.097,17.614
shuffled-null,3,31.524925231933594,54.36076059881576,200,196,0.98,41.339,16.999,1.214,38.945,43.734,50.0,0.0816,0.4541,0.0102,28.374,24.647,32.102
shuffled-null,5,52.541542053222656,90.60126766469293,200,193,0.965,51.58,12.949,0.932,49.742,53.419,50.0,0.0104,0.5078,0.0052,38.615,35.215,42.016
orthogonal-null,-5,-52.541542053222656,-93.38445740270595,200,197,0.985,28.761,38.689,2.756,23.325,34.198,1.0,0.3807,0.1929,0.1827,15.796,9.662,21.931
orthogonal-null,-1,-10.508308410644531,-18.67689148054119,200,199,0.995,13.058,23.079,1.636,9.831,16.284,0.0,0.6281,0.1809,0.0201,0.093,-4.213,4.399
orthogonal-null,1,10.508308410644531,18.67689148054119,200,199,0.995,18.636,23.644,1.676,15.33,21.941,0.0,0.5477,0.2663,0.005,5.671,1.306,10.036
orthogonal-null,5,52.541542053222656,93.38445740270595,200,189,0.945,40.688,25.605,1.863,37.014,44.362,50.0,0.2011,0.2593,0.0106,27.723,23.074,32.372
