arm,their_raw_beta,unit_beta,minus_decision,ci_low,ci_high,p
theirs,-5,-52.541542053222656,29.077,25.127,33.026,4.878024082069041e-35
theirs,-4,-42.033233642578125,22.543,18.109,26.977,6.4662053312057814e-21
theirs,-3,-31.524925231933594,21.358,17.084,25.632,4.198929424973162e-20
theirs,-2,-21.016616821289062,10.49,6.624,14.356,1.6537195534082184e-07
theirs,-1,-10.508308410644531,9.996,6.891,13.101,8.590325822918134e-10
theirs,1,10.508308410644531,-12.129,-16.288,-7.97,2.139954976404526e-08
theirs,2,21.016616821289062,-6.006,-9.836,-2.175,0.0022471846350769122
theirs,3,31.524925231933594,11.662,7.856,15.469,6.0489099825404155e-09
theirs,4,42.033233642578125,24.004,19.333,28.675,4.098601177359169e-20
theirs,5,52.541542053222656,37.98,33.091,42.869,2.7032978679013276e-36
shuffled-null,-5,-52.541542053222656,23.072,16.981,29.164,2.0396253518954816e-12
shuffled-null,-3,-31.524925231933594,8.389,3.745,13.032,0.0004384430794395085
shuffled-null,-1,-10.508308410644531,8.01,4.699,11.322,3.04438506616443e-06
shuffled-null,1,10.508308410644531,-12.428,-16.336,-8.52,1.1324040548673387e-09
shuffled-null,3,31.524925231933594,-0.885,-3.573,1.803,0.5173618514081437
shuffled-null,5,52.541542053222656,12.881,10.664,15.099,9.018236531499853e-26
orthogonal-null,-5,-52.541542053222656,27.731,22.117,33.345,6.982260029728223e-19
orthogonal-null,-1,-10.508308410644531,11.689,8.138,15.24,4.1339359349777274e-10
orthogonal-null,1,10.508308410644531,-20.113,-24.137,-16.089,2.5371604472566828e-20
orthogonal-null,5,52.541542053222656,1.989,-1.888,5.865,0.3131210001866387
