arm,their_raw_beta,unit_beta,own_raw_beta,n,parsed,parse_coverage,mean,sd,se,ci_low,ci_high,rows_in_this_directory
decision,-5,-52.5415,-7.6456,200,196,0.98,1.031,10.076,0.72,-0.389,2.45,yes
decision,-4,-42.0332,-6.1165,200,199,0.995,3.518,18.469,1.309,0.936,6.099,yes
decision,-3,-31.5249,-4.5874,200,199,0.995,2.513,15.69,1.112,0.319,4.706,yes
decision,-2,-21.0166,-3.0582,200,198,0.99,3.03,17.185,1.221,0.622,5.439,yes
decision,-1,-10.5083,-1.5291,200,198,0.99,1.369,10.694,0.76,-0.13,2.867,yes
decision,0,0.0,0.0,200,200,1.0,12.965,20.59,1.456,10.094,15.836,yes
decision,1,10.5083,1.5291,200,197,0.985,38.749,16.47,1.173,36.435,41.063,yes
decision,2,21.0166,3.0582,200,197,0.985,44.142,8.724,0.622,42.916,45.368,yes
decision,3,31.5249,4.5874,200,196,0.98,42.224,8.75,0.625,40.992,43.457,yes
decision,4,42.0332,6.1165,200,193,0.965,41.707,9.267,0.667,40.392,43.023,yes
decision,5,52.5415,7.6456,200,186,0.93,38.699,8.646,0.634,37.448,39.95,yes
trait-vector,-5,-52.5415,-5.0,200,196,0.98,30.107,26.202,1.872,26.416,33.798,no
trait-vector,-4,-42.0332,-4.0,200,198,0.99,26.061,25.824,1.835,22.441,29.68,no
trait-vector,-3,-31.5249,-3.0,200,197,0.985,23.871,26.194,1.866,20.19,27.551,no
trait-vector,-2,-21.0166,-2.0,200,199,0.995,13.52,21.737,1.541,10.481,16.559,no
trait-vector,-1,-10.5083,-1.0,200,196,0.98,11.365,19.362,1.383,8.637,14.092,no
trait-vector,0,0.0,0.0,200,200,1.0,12.965,20.59,1.456,10.094,15.836,no
trait-vector,1,10.5083,1.0,200,196,0.98,26.62,24.625,1.759,23.151,30.089,no
trait-vector,2,21.0166,2.0,200,198,0.99,38.136,25.927,1.843,34.503,41.77,no
trait-vector,3,31.5249,3.0,200,194,0.97,53.887,25.467,1.828,50.28,57.493,no
trait-vector,4,42.0332,4.0,200,194,0.97,65.711,31.682,2.275,61.225,70.198,no
trait-vector,5,52.5415,5.0,200,190,0.95,76.679,33.052,2.398,71.949,81.409,no
shuffled-null,-5,-52.5415,-90.6013,200,194,0.97,24.103,41.863,3.006,18.175,30.031,yes
shuffled-null,-3,-31.5249,-54.3608,200,198,0.99,10.902,29.283,2.081,6.797,15.006,yes
shuffled-null,-1,-10.5083,-18.1203,200,198,0.99,9.379,21.124,1.501,6.418,12.339,yes
shuffled-null,0,0.0,0.0,200,200,1.0,12.965,20.59,1.456,10.094,15.836,yes
shuffled-null,1,10.5083,18.1203,200,198,0.99,26.321,22.567,1.604,23.158,29.483,yes
shuffled-null,3,31.5249,54.3608,200,196,0.98,41.339,16.999,1.214,38.945,43.734,yes
shuffled-null,5,52.5415,90.6013,200,193,0.965,51.58,12.949,0.932,49.742,53.419,yes
orthogonal-null,-5,-52.5415,-93.3845,200,197,0.985,28.761,38.689,2.756,23.325,34.198,yes
orthogonal-null,-1,-10.5083,-18.6769,200,199,0.995,13.058,23.079,1.636,9.831,16.284,yes
orthogonal-null,1,10.5083,18.6769,200,199,0.995,18.636,23.644,1.676,15.33,21.941,yes
orthogonal-null,5,52.5415,93.3845,200,189,0.945,40.688,25.605,1.863,37.014,44.362,yes
